system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
2026,152,8.28031040748607,1156,0,0.3127287,0.6230326,0.048077416,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.283715412416053,42.49480451527397]}"
2027,178,8.28031040748607,1150,0,0.2881278,0.63002276,0.032352496,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.274732259574858,42.49480451527397]}"
2028,193,8.28031040748607,1154,0,0.2828612,0.5795894,0.02298196,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.265749106733662,42.49480451527397]}"
2029,195,8.28031040748607,1167,0,0.24823447,0.58985317,-0.004221099,2,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.256765953892468,42.49480451527397]}"
2030,124,8.696180758725575,1166,0,0.42513794,0.6571952,0.17416912,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.247782801051272,42.49480451527397]}"
2031,131,8.696180758725575,1115,0,0.45709985,0.6638269,0.21491331,4,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.238799648210077,42.49480451527397]}"
2032,156,8.696180758725575,1098,0,0.42444357,0.6595261,0.18230942,3,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2298164953688815,42.49480451527397]}"
2033,148,8.696180758725575,1086,0,0.37687206,0.6224206,0.13310342,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.220833342527687,42.49480451527397]}"
2034,133,8.696180758725575,1070,0,0.44007036,0.6686467,0.19608459,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2118501896864915,42.49480451527397]}"
2035,142,8.696180758725575,1051,0,0.36270088,0.62884307,0.11932243,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.202867036845296,42.49480451527397]}"
2036,110,8.696180758725575,1041,0,0.2630862,0.58619964,0.03583803,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.193883884004101,42.49480451527397]}"
2037,43,8.696180758725575,1021,0,0.18236287,0.5113369,-0.045124095,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.184900731162906,42.49480451527397]}"
2038,21,8.696180758725575,1016,0,0.29885,0.57802886,0.0760077,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.175917578321711,42.49480451527397]}"
2039,76,8.696180758725575,1012,0,0.25594452,0.5320516,0.03751471,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.166934425480515,42.49480451527397]}"
2040,121,8.696180758725575,1001,0,0.16627638,0.45275784,-0.04257876,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.15795127263932,42.49480451527397]}"
2041,129,8.935608729843182,984,0,0.27679366,0.6153929,0.040171117,1,158.71694954080695,36.5721374511719,5.059881080613262,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.148968119798125,42.49480451527397]}"
2042,127,8.935608729843182,973,0,0.23203647,0.5663366,0.007189055,1,158.71694954080695,36.5721374511719,5.059881080613262,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.13998496695693,42.49480451527397]}"
